id,lang,lesson,front,back,example,example_zh,note,tags
ru-0001,ru,ru-01,А а,a；形音都同,такси́,出租车（含 а）,字母；转写只用于辨认；示例词暂不要求记忆,letter;latin-same
ru-0002,ru,ru-01,Б б,b；新形,ба́нк,银行（含 б）,字母,letter;new-shape
ru-0003,ru,ru-01,В в,v；形同音不同,университе́т,大学（含 в）,字母；不是拉丁 B 的 b,letter;false-friend
ru-0004,ru,ru-01,Г г,g；新形,го́род,城市（含 г）,字母；注意斜体字形,letter;new-shape
ru-0005,ru,ru-01,Д д,d；新形,студе́нт,学生（含 д）,字母；注意斜体字形,letter;new-shape
ru-0006,ru,ru-01,Е е,ye / e；形同音不同,телефо́н,电话（含 е）,字母；词首等位置常对应 ye；辅音后常提示软化,letter;false-friend
ru-0007,ru,ru-01,Ё ё,yo；新形,ёлка,枞树（含 ё）,字母；普通词中 ё 通常重读；不要漏两点,letter;new-shape
ru-0008,ru,ru-01,Ж ж,zh；新形,журна́л,杂志（含 ж）,字母,letter;new-shape
ru-0009,ru,ru-01,З з,z；新形,му́зыка,音乐（含 з）,字母,letter;new-shape
ru-0010,ru,ru-01,И и,i；新形,интерне́т,互联网（含 и）,字母；注意斜体字形,letter;new-shape
ru-0011,ru,ru-01,Й й,y（短促的滑音）；新形,музе́й,博物馆（含 й）,字母；顶部短音符不可省略；不是 и,letter;new-shape
ru-0012,ru,ru-01,К к,k；形音都同,ко́фе,咖啡（含 к）,字母,letter;latin-same
ru-0013,ru,ru-01,Л л,l；新形,телефо́н,电话（含 л）,字母,letter;new-shape
ru-0014,ru,ru-01,М м,m；形音都同,метро́,地铁（含 м）,字母,letter;latin-same
ru-0015,ru,ru-01,Н н,n；形同音不同,интерне́т,互联网（含 н）,字母；不是拉丁 H,letter;false-friend
ru-0016,ru,ru-01,О о,o；形音都同,спо́рт,体育运动（含 о）,字母；这里只记大致对应；非重读读音留待以后,letter;latin-same
ru-0017,ru,ru-01,П п,p；新形,па́рк,公园（含 п）,字母；注意斜体字形,letter;new-shape
ru-0018,ru,ru-01,Р р,r；形同音不同,ра́дио,广播；收音机（含 р）,字母；不是拉丁 P 的 p,letter;false-friend
ru-0019,ru,ru-01,С с,s；形同音不同,студе́нт,学生（含 с）,字母；不是拉丁 C 的 k,letter;false-friend
ru-0020,ru,ru-01,Т т,t；形音都同,теа́тр,剧院（含 т）,字母；小写斜体常像拉丁 m,letter;latin-same
ru-0021,ru,ru-01,У у,u；形同音不同,университе́т,大学（含 у）,字母；不是拉丁 Y,letter;false-friend
ru-0022,ru,ru-01,Ф ф,f；新形,ко́фе,咖啡（含 ф）,字母,letter;new-shape
ru-0023,ru,ru-01,Х х,kh（也记作 x）；形同音不同,хо́бби,爱好（含 х）,字母；不是英语 x 的 ks,letter;false-friend
